Date,Time,Classification_Code,Crime_Cat,Cat_Num,Latitude,Longitude
8/9/2017,6:30:00,352,MISDEMEANOR,2,40.647188506,-73.961071771
7/9/2017,0:00:00,578,VIOLATION,1,40.860716972,-73.899246702
3/1/2017,3:00:00,351,MISDEMEANOR,2,40.675136459,-73.948617834
5/27/2017,17:00:00,236,MISDEMEANOR,2,40.662206279,-73.905940758
3/8/2017,10:45:00,578,VIOLATION,1,40.827743663,-73.904380654
7/4/2017,15:35:00,105,FELONY,0,40.834075293,-73.875208807
9/1/2017,0:11:00,235,MISDEMEANOR,2,40.823038163,-73.917210387
4/6/2017,9:00:00,578,VIOLATION,1,40.845233933,-73.933002677
4/5/2017,14:45:00,235,MISDEMEANOR,2,40.637258178,-74.076566517
4/25/2017,8:45:00,341,MISDEMEANOR,2,40.778412523,-73.98208877
8/10/2017,18:30:00,109,FELONY,0,40.756298483,-73.878397328
4/28/2017,15:30:00,109,FELONY,0,40.67814194,-73.898851948
5/16/2017,13:25:00,107,FELONY,0,40.883986523,-73.851054963
8/29/2017,12:20:00,113,FELONY,0,40.718564066,-73.988201454
8/26/2017,10:45:00,361,MISDEMEANOR,2,40.73883974,-73.989861409
4/19/2017,15:00:00,341,MISDEMEANOR,2,40.663959083,-73.93157353
6/9/2017,6:00:00,106,FELONY,0,40.850234154,-73.895272061
7/20/2017,10:00:00,109,FELONY,0,40.886495096,-73.905681299
1/6/2017,21:53:00,126,FELONY,0,40.791997616,-73.949719421
3/11/2017,20:20:00,341,MISDEMEANOR,2,40.626142073,-74.157252583
3/7/2017,4:15:00,347,MISDEMEANOR,2,40.898602799,-73.897091282
2/11/2017,15:00:00,344,MISDEMEANOR,2,40.659502392,-73.94904797
7/25/2017,9:00:00,578,VIOLATION,1,40.672853874,-73.939524214
8/16/2017,20:17:00,361,MISDEMEANOR,2,40.639019714,-73.918534051
3/8/2017,18:00:00,578,VIOLATION,1,40.824146269,-73.892946483
2/2/2017,13:40:00,341,MISDEMEANOR,2,40.68336304,-73.974867134
4/2/2017,1:15:00,110,FELONY,0,40.897066466,-73.865704047
6/5/2017,14:00:00,578,VIOLATION,1,40.833946525,-73.946551017
1/31/2017,16:20:00,341,MISDEMEANOR,2,40.67910409,-73.863128919
1/26/2017,17:20:00,578,VIOLATION,1,40.725440246,-73.996772441
7/15/2017,11:00:00,109,FELONY,0,40.756644557,-73.986285275
6/28/2017,15:00:00,235,MISDEMEANOR,2,40.801755583,-73.934260057
1/22/2017,12:01:00,359,MISDEMEANOR,2,40.830253506,-73.876697517
5/1/2017,18:30:00,105,FELONY,0,40.671462939,-73.922344471
2/13/2017,8:00:00,109,FELONY,0,40.672897902,-73.978238136
10/11/2016,4:50:00,109,FELONY,0,40.755566281,-73.973049602
9/23/2017,17:40:00,359,MISDEMEANOR,2,40.689097532,-73.925616087
7/17/2017,16:30:00,578,VIOLATION,1,40.836804517,-73.919480837
3/26/2017,13:00:00,361,MISDEMEANOR,2,40.799969826,-73.946975602
1/16/2017,23:35:00,344,MISDEMEANOR,2,40.620598081,-74.001759296
5/6/2017,10:20:00,109,FELONY,0,40.768918887,-73.984990302
5/12/2017,0:10:00,105,FELONY,0,40.660969895,-73.931367545
7/16/2017,17:00:00,341,MISDEMEANOR,2,40.734800881,-73.860809817
6/3/2017,18:00:00,361,MISDEMEANOR,2,40.628809524,-73.936646012
3/29/2017,19:35:00,351,MISDEMEANOR,2,40.77304109,-73.982202137
4/7/2017,20:00:00,109,FELONY,0,40.834054797,-73.853143449
7/12/2017,0:59:00,344,MISDEMEANOR,2,40.636369999,-74.11750657
8/3/2017,18:00:00,361,MISDEMEANOR,2,40.807977233,-73.938054056
1/20/2017,9:00:00,112,FELONY,0,40.674396606,-73.951466409
9/15/2017,12:40:00,341,MISDEMEANOR,2,40.76841722,-73.990929124
9/26/2017,14:00:00,578,VIOLATION,1,40.658603863,-73.960502852
8/3/2017,12:37:00,578,VIOLATION,1,40.755648675,-73.990952519
5/3/2017,4:05:00,341,MISDEMEANOR,2,40.658417935,-73.954981321
2/4/2017,8:00:00,678,VIOLATION,1,40.669685015,-73.919361754
6/16/2017,19:00:00,109,FELONY,0,40.710560638,-74.008405812
5/9/2017,19:00:00,359,MISDEMEANOR,2,40.813103432,-73.941499302
2/16/2017,19:00:00,106,FELONY,0,40.662767503,-73.907529526
8/23/2017,2:30:00,353,MISDEMEANOR,2,40.755568898,-73.898799351
5/26/2017,21:30:00,110,FELONY,0,40.641676785,-73.886320885
3/15/2017,23:03:00,118,FELONY,0,40.840102648,-73.880354752
3/12/2017,20:43:00,340,MISDEMEANOR,2,40.690901156,-73.794807677
9/8/2017,15:15:00,361,MISDEMEANOR,2,40.850716517,-73.833880446
7/19/2017,8:00:00,351,MISDEMEANOR,2,40.663569288,-73.922840264
9/10/2017,10:00:00,344,MISDEMEANOR,2,40.753498716,-73.863582435
3/8/2017,18:30:00,110,FELONY,0,40.604676513,-73.755631072
5/19/2017,17:25:00,341,MISDEMEANOR,2,40.733926841,-73.871582398
3/9/2017,14:10:00,117,FELONY,0,40.597328035,-73.950492564
8/8/2017,10:40:00,578,VIOLATION,1,40.565395053,-74.111918153
