id,name,latitude,longitude,price
16338,Double Room w Private Deck Clinton Hill Best Area,40.6899966097,-73.9678782885,55
16422,Live-Work-Apartment: join the flair,40.6542341042,-73.9592089704,75
16458,Light-filled 2B duplex in the heart of Park Slope!,40.6734257844,-73.9833771909,225
16580,"Sunny, Modern room in East Village!",40.7264879483,-73.9790351541,80
16595,*Loft with Bedroom - Full Floor - Williamsburg NY*,40.7093302777,-73.9679176127,250
16737,East Village Duplex with Patio,40.724753761,-73.9824094411,120
16821,Large Room in Amazing East Village Apt,40.7229824701,-73.9847363267,79
16885,[1524-S] Lux Midtown East Studios - Walk to UN,40.7445004655,-73.9740372167,329
16928,Cute one-bedroom in Nolita!,40.7225197287,-73.9944090494,110
16974,SpaHa Loft: Enormous and Bright,40.8016424964,-73.9392213941,225
16990,Sleep at the CozySuite Pinacle,40.6849322945,-73.9316610388,59
17037,Lovely EV Artist's Home,40.721623967,-73.9800813419,210
17052,Bay Ridge Brooklyn Safe Haven,40.635014757,-74.0342646851,125
17092,Cool Room in Hell's Kitchen,40.7634192252,-73.9886541254,60
17226,Comfy home on the fabulous UWS,40.7879551536,-73.9768365615,170
17240,Stay at the CozySuite Citadelle,40.685112111,-73.9323957113,69
17297,Modern Brownstone living1,40.6813400499,-73.9363674212,180
17298,Modern Brownstone living3,40.6829056054,-73.9366381528,180
17299,Modern Brownstone living4,40.6827597299,-73.9350257263,180
17453,Couch for female in LES apartment,40.7199528564,-73.9854358275,75
17693,"HARLEM, NEW YORK WELCOMES YOU!!",40.8313857758,-73.9409537628,65
17747,BLUE TRIM GUEST HOUSE,40.683462749,-73.9637353238,105
18127,Charming East Village One Bedroom Flat,40.7282803646,-73.9880116208,170
18152,Manhattan Room,40.7686480505,-73.9505818954,240
18195,King of Queens w/ Private Bathroom,40.7459018756,-73.9076398921,90
18198,Little King of Queens,40.750382355,-73.9033391812,70
18590,Fort Greene Retreat on the Park,40.6932044371,-73.9726727811,85
18728,Beautiful Meatpacking District Loft,40.7413791416,-74.0019668588,119
18764,Cozy 2 BR in Williamsburg ,40.7115398392,-73.9611196545,129
19159,Spacious luminous apt Upper West NYC,40.8291523235,-73.9513608585,120
19169,Entire 2 Bedroom - Large & Sunny,40.7185120738,-73.9889234602,285
19282,"Sunny, Spacious Top Floor Haven",40.6540106055,-73.9632268547,140
19812,2 bedroom Williamsburg Apt - Bedford L stop,40.7183273184,-73.9574779421,95
20299,Oh glorious spring!,40.7233422021,-73.9844029332,60
20300,Great Location for NYC,40.7291197639,-73.9805709418,50
20311,Awesome Room w/ optional pvt Bath!,40.6720592135,-73.9634376531,70
20611,Cozy Bedroom in Williamsburg 3 BR,40.7115575514,-73.9621780404,84
20724,Sunny room+Pvte office in huge loft,40.7003210461,-73.9382958349,60
20734,Spacious Prospect Heights Apartment,40.6823327544,-73.9726101475,131
20853,2-bed brownstone duplex + garden,40.680350549,-73.9716215106,250
21293,Sunny Apartment in Artist Home,40.7009312956,-73.9260884858,105
21456,Light-filled classic Central Park ,40.7976422112,-73.9617748438,140
21644,"Upper Manhattan, New York",40.8280280716,-73.9473084685,89
21794,COZY QUIET room 4 DOOGLERS!,40.7400846415,-74.0027063798,111
22250,HEAVENLY BROWNSTONE RETREAT,40.6782044151,-73.975543968,200
22673,NYC - CHELSEA 1 BEDROOM SAFE + COOL,40.7457314272,-73.9956431375,185
23135,House On Henry (3rd FLR Suite),40.6807563187,-74.00087939,175
23501,Monkey Retreat Manhattan,40.8392703535,-73.9428133464,65
23545,Because Nice Matters-Upper Upper West Side 2bd/2ba,40.8274760805,-73.9506891687,240
23686,Private 3br 2bath West Village townhouse SALE!,40.7309633664,-74.0031930397,400
24143,"Williamsburg Oasis—Steps To Subway, Total Privacy",40.7133183597,-73.9417726573,101
24261,Beautiful 2 bedroom Apartment,40.6705325203,-73.9827893457,150
24266,Beautiful Studio Apartment,40.6704079415,-73.982329558,100
24269,Beautiful 3 Bedroom Apartment,40.6722070783,-73.9805640561,200
24281,Beautiful Studio Apartment 2,40.6710006595,-73.9836539892,100
24285,Beautiful Duplex Apartment,40.6694079798,-73.9810908546,250
25192,Sandra's Room,40.8900782015,-73.8533099694,150
25235,Large 2 Bedroom Great for Groups!,40.6837316183,-73.9237688898,125
25406,Modern Traveler's Suite in Brooklyn,40.7145913915,-73.9484431302,139
25696,"1,800 sq foot in luxury building",40.8091982445,-73.944209964,69
26012,Sunny 2-story townhouse w garden,40.6815686293,-73.989888245,200
