,id,name,latitude,longitude,price
86,16326,Comfortable 4-bedroom apt in family house.,40.67810546,-73.96428442,339
87,16338,Double Room w Private Deck Clinton Hill Best Area,40.68999661,-73.96787829,55
88,16422,Live-Work-Apartment: join the flair,40.6542341,-73.95920897,75
89,16458,Light-filled 2B duplex in the heart of Park Slope!,40.67342578,-73.98337719,225
90,16580,"Sunny, Modern room in East Village!",40.72648795,-73.97903515,80
91,16595,*Loft with Bedroom - Full Floor - Williamsburg NY*,40.70933028,-73.96791761,250
92,16737,East Village Duplex with Patio,40.72475376,-73.98240944,120
93,16821,Large Room in Amazing East Village Apt,40.72298247,-73.98473633,79
94,16885,[1524-S] Lux Midtown East Studios - Walk to UN,40.74450047,-73.97403722,329
95,16928,Cute one-bedroom in Nolita!,40.72251973,-73.99440905,110
96,16974,SpaHa Loft: Enormous and Bright,40.8016425,-73.93922139,225
97,16990,Sleep at the CozySuite Pinacle,40.68493229,-73.93166104,59
98,17037,Lovely EV Artist's Home,40.72162397,-73.98008134,210
99,17052,Bay Ridge Brooklyn Safe Haven,40.63501476,-74.03426469,125
